GID,SYMBOL,GENENAME
SEN_RS13360,srmB,ATP-dependent RNA helicase SrmB
SEN_RS15165,SEN_RS15165,DNA-binding protein
SEN_RS12040,SEN_RS12040,sugar phosphatase
SEN_RS14330,SEN_RS14330,LysR family transcriptional regulator
SEN_RS00900,SEN_RS00900,ABC transporter permease
SEN_RS16005,SEN_RS16005,pirin family protein
SEN_RS11170,SEN_RS11170,fimbrial assembly chaperone
SEN_RS20510,rplA,50S ribosomal protein L1
SEN_RS18125,SEN_RS18125,XylR family transcriptional regulator
SEN_RS18765,tisB,type I toxin-antitoxin system toxin TisB
SEN_RS16300,dacB,serine-type D-Ala-D-Ala carboxypeptidase
SEN_RS03745,SEN_RS03745,DUF2167 domain-containing protein
SEN_RS09210,SEN_RS09210,GlsB/YeaQ/YmgE family stress response membrane protein
SEN_RS05175,SEN_RS05175,hypothetical protein
SEN_RS20995,SEN_RS20995,EAL domain-containing protein
SEN_RS00085,SEN_RS00085,transcriptional regulator
SEN_RS20260,mscS,small-conductance mechanosensitive channel MscS
SEN_RS18360,tdh,L-threonine 3-dehydrogenase
SEN_RS13365,SEN_RS13365,LysR family transcriptional regulator
SEN_RS10175,SEN_RS10175,helix-turn-helix transcriptional regulator
SEN_RS12045,SEN_RS12045,YfbU family protein
SEN_RS00420,SEN_RS00420,DUF1471 domain-containing protein
SEN_RS06045,SEN_RS06045,phage terminase large subunit family protein
SEN_RS22385,SEN_RS22385,DUF2501 domain-containing protein
SEN_RS07910,glsB,glutaminase B
SEN_RS11175,yehD,fimbrial protein YehD
SEN_RS12500,SEN_RS12500,tRNA-Lys
SEN_RS17055,tusB,sulfurtransferase complex subunit TusB
SEN_RS04195,ybjG,undecaprenyl-diphosphate phosphatase
SEN_RS19175,rbsD,D-ribose pyranase
SEN_RS03205,SEN_RS03205,J domain-containing protein
SEN_RS01440,SEN_RS01440,Saf-pilin pilus formation protein
SEN_RS07975,SEN_RS07975,general stress protein
SEN_RS04920,pipB,SPI-2 type III secretion system effector PipB
SEN_RS09220,SEN_RS09220,hypothetical protein
SEN_RS20650,SEN_RS20650,tRNA-Glu
SEN_RS01875,iraP,anti-adapter protein IraP
SEN_RS00260,SEN_RS00260,hypothetical protein
SEN_RS04640,mukF,chromosome partition protein MukF
SEN_RS21310,dcuA,anaerobic C4-dicarboxylate transporter DcuA
SEN_RS21810,SEN_RS21810,DUF4312 family protein
SEN_RS14335,SEN_RS14335,permease
SEN_RS13370,eamB,cysteine/O-acetylserine transporter
SEN_RS08305,mliC,C-type lysozyme inhibitor
SEN_RS12050,SEN_RS12050,DUF412 domain-containing protein
SEN_RS19855,SEN_RS19855,DeoR/GlpR transcriptional regulator
SEN_RS22020,idnO,gluconate 5-dehydrogenase
SEN_RS00905,SEN_RS00905,fimbrial protein
SEN_RS05390,fliE,flagellar hook-basal body complex protein FliE
SEN_RS11180,SEN_RS11180,YehE family protein
SEN_RS05615,motA,flagellar motor stator protein MotA
SEN_RS03750,modF,molybdate ABC transporter ATP-binding protein ModF
SEN_RS08225,SEN_RS08225,oxidoreductase
SEN_RS09225,SEN_RS09225,DUF1869 domain-containing protein
SEN_RS06935,sapF,peptide ABC transporter ATP-binding protein SapF
SEN_RS16475,SEN_RS16475,cytosine deaminase
SEN_RS24005,SEN_RS24005,CDP-diacylglycerol diphosphatase
SEN_RS13375,grcA,autonomous glycyl radical cofactor GrcA
SEN_RS10180,SEN_RS10180,helix-turn-helix transcriptional regulator
SEN_RS12055,ackA,acetate kinase
SEN_RS11185,apbC,iron-sulfur cluster carrier protein ApbC
SEN_RS14935,SEN_RS14935,CaiF/GrlA family transcriptional regulator
SEN_RS06715,SEN_RS06715,YciI family protein
SEN_RS18055,SEN_RS18055,HTH-type transcriptional regulator
SEN_RS07210,hokD,type I toxin-antitoxin system toxin HokD
SEN_RS16740,yhdJ,adenine-specific DNA-methyltransferase
SEN_RS18240,SEN_RS18240,glutathione S-transferase
SEN_RS03210,SEN_RS03210,molecular chaperone HscC
SEN_RS01445,papD,pili assembly chaperone PapD
SEN_RS15625,SEN_RS15625,DedA family protein
SEN_RS12860,bcp,thioredoxin-dependent thiol peroxidase
SEN_RS09230,SEN_RS09230,DUF1971 domain-containing protein
SEN_RS01880,psiF,phosphate starvation-inducible protein PsiF
SEN_RS05865,SEN_RS05865,YebY family protein
SEN_RS15170,SEN_RS15170,ECF transporter S component
SEN_RS19220,SEN_RS19220,tRNA-Glu
SEN_RS13380,ung,uracil-DNA glycosylase
SEN_RS08310,anmK,anhydro-N-acetylmuramic acid kinase
SEN_RS12060,pta,phosphate acetyltransferase
SEN_RS14340,SEN_RS14340,SDR family oxidoreductase
SEN_RS21665,SEN_RS21665,DMT family transporter
SEN_RS00910,SEN_RS00910,fimbrial outer membrane usher protein
SEN_RS16010,SEN_RS16010,hypothetical protein
SEN_RS11190,metG,methionine--tRNA ligase
SEN_RS01365,SEN_RS01365,tRNA-Asp
SEN_RS19715,SEN_RS19715,serine/threonine protein kinase
SEN_RS16305,cgtA,Obg family GTPase CgtA
SEN_RS00430,SEN_RS00430,sulfatase-like hydrolase/transferase
SEN_RS02400,adk,adenylate kinase
SEN_RS03755,modE,molybdenum-dependent transcriptional regulator
SEN_RS02910,cstA,carbon starvation protein CstA
SEN_RS09235,leuE,leucine efflux protein LeuE
SEN_RS17560,ugpQ,glycerophosphodiester phosphodiesterase
SEN_RS21000,soxS,superoxide response transcriptional regulator SoxS
SEN_RS10185,SEN_RS10185,hypothetical protein
SEN_RS07815,SEN_RS07815,MFS transporter
SEN_RS17965,SEN_RS17965,aryl-sulfate sulfotransferase
SEN_RS13385,SEN_RS13385,tRNA/rRNA methyltransferase
SEN_RS20770,SEN_RS20770,DNA-binding protein
SEN_RS12065,yfcC,putative basic amino acid antiporter YfcC
SEN_RS14345,SEN_RS14345,HPr family phosphocarrier protein
SEN_RS16885,rpoA,DNA-directed RNA polymerase subunit alpha
SEN_RS18460,rpmB,50S ribosomal protein L28
SEN_RS24585,SEN_RS24585,type I toxin-antitoxin system toxin Ldr family protein
SEN_RS11195,SEN_RS11195,YehR family lipoprotein
SEN_RS06250,manY,PTS mannose transporter subunit IIC
SEN_RS17800,SEN_RS17800,SIS domain-containing protein
SEN_RS24195,SEN_RS24195,hypothetical protein
SEN_RS19180,rbsA,ribose ABC transporter ATP-binding protein RbsA
SEN_RS04930,SEN_RS04930,hypothetical protein
SEN_RS18500,SEN_RS18500,LysR family transcriptional regulator
SEN_RS06560,chaB,putative cation transport regulator ChaB
SEN_RS09240,SEN_RS09240,chorismate mutase
SEN_RS01885,adrA,diguanylate cyclase AdrA
SEN_RS00235,ileS,isoleucine--tRNA ligase
SEN_RS04410,SEN_RS04410,hypothetical protein
SEN_RS12070,SEN_RS12070,transketolase family protein
SEN_RS08315,slyB,outer membrane lipoprotein SlyB
SEN_RS14350,SEN_RS14350,aldolase
SEN_RS21460,SEN_RS21460,tRNA-Gly
SEN_RS00915,SEN_RS00915,fimbria/pilus periplasmic chaperone
SEN_RS05395,SEN_RS05395,hypothetical protein
SEN_RS21165,SEN_RS21165,AraC family transcriptional regulator
SEN_RS05620,motB,flagellar motor protein MotB
SEN_RS02405,hemH,ferrochelatase
SEN_RS19965,rhaM,L-rhamnose mutarotase
SEN_RS03760,SEN_RS03760,AcrZ family multidrug efflux pump-associated protein
SEN_RS09245,SEN_RS09245,hypothetical protein
SEN_RS21920,SEN_RS21920,YfcC family protein
SEN_RS06940,sapD,peptide ABC transporter ATP-binding protein SapD
SEN_RS15835,SEN_RS15835,SH3 domain-containing protein
SEN_RS07440,SEN_RS07440,SDR family oxidoreductase
SEN_RS13390,trxC,thioredoxin TrxC
SEN_RS10190,SEN_RS10190,hypothetical protein
SEN_RS12075,SEN_RS12075,transketolase
SEN_RS14355,SEN_RS14355,3-oxo-tetronate kinase
SEN_RS24870,SEN_RS24870,hypothetical protein
SEN_RS11200,SEN_RS11200,YehR family lipoprotein
SEN_RS14940,SEN_RS14940,hypothetical protein
SEN_RS24940,SEN_RS24940,hypothetical protein
SEN_RS23115,SEN_RS23115,tail fiber assembly protein
SEN_RS24200,SEN_RS24200,hypothetical protein
SEN_RS01455,SEN_RS01455,pilin structural protein SafD
SEN_RS08125,mdtI,multidrug/spermidine efflux SMR transporter subunit MdtI
SEN_RS12865,SEN_RS12865,glycerate kinase
SEN_RS21470,nnr,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
SEN_RS09250,SEN_RS09250,MerR family transcriptional regulator
SEN_RS01890,proC,pyrroline-5-carboxylate reductase
SEN_RS16580,ttdA,L(+)-tartrate dehydratase subunit alpha
SEN_RS15370,mltC,membrane-bound lytic murein transglycosylase MltC
SEN_RS22295,SEN_RS22295,N-6 DNA methylase
SEN_RS15175,SEN_RS15175,energy-coupling factor transporter transmembrane protein EcfT
SEN_RS08320,slyA,transcriptional regulator SlyA
SEN_RS13395,tapT,tRNA-uridine aminocarboxypropyltransferase
SEN_RS10200,rdgC,recombination-associated protein RdgC
SEN_RS12080,SEN_RS12080,PTS ascorbate transporter subunit IIC
SEN_RS14360,SEN_RS14360,NAD(P)-dependent oxidoreductase
SEN_RS00920,SEN_RS00920,fimbrial protein
SEN_RS16015,SEN_RS16015,serine dehydratase subunit alpha family protein
SEN_RS11205,SEN_RS11205,DUF1456 family protein
SEN_RS20515,rplJ,50S ribosomal protein L10
SEN_RS18130,SEN_RS18130,protein bax
SEN_RS18770,SEN_RS18770,EamA family transporter
SEN_RS16310,SEN_RS16310,DMT family transporter
SEN_RS00440,kefF,glutathione-regulated potassium-efflux system oxidoreductase KefF
SEN_RS02410,aes,acetyl esterase
SEN_RS03765,modA,molybdate ABC transporter substrate-binding protein
SEN_RS02920,SEN_RS02920,oxidoreductase
SEN_RS09255,SEN_RS09255,helix-turn-helix transcriptional regulator
SEN_RS21005,soxR,redox-sensitive transcriptional activator SoxR
SEN_RS20265,SEN_RS20265,hypothetical protein
SEN_RS10205,SEN_RS10205,hypothetical protein
SEN_RS12085,SEN_RS12085,PTS sugar transporter subunit IIB
SEN_RS18365,kbl,glycine C-acetyltransferase
SEN_RS13400,pat,protein lysine acetyltransferase
SEN_RS01520,dinB,DNA polymerase IV
SEN_RS00090,SEN_RS00090,chitinase
SEN_RS14365,SEN_RS14365,DeoR/GlpR transcriptional regulator
SEN_RS24130,SEN_RS24130,hypothetical protein
SEN_RS07915,sad,succinate-semialdehyde dehydrogenase
SEN_RS11210,yehT,two-component system response regulator BtsR
SEN_RS17060,tusC,sulfurtransferase complex subunit TusC
SEN_RS04200,SEN_RS04200,MFS transporter
SEN_RS04935,sigE,type III secretion system chaperone SigE
SEN_RS19185,rbsC,ribose ABC transporter permease
SEN_RS19690,SEN_RS19690,23S ribosomal RNA
SEN_RS03220,rihA,pyrimidine-specific ribonucleoside hydrolase RihA
SEN_RS01460,SEN_RS01460,polysaccharide deacetylase family protein
SEN_RS09260,aadA,cryptic aminoglycoside nucleotidyltransferase ANT(3'')/ANT(9)
SEN_RS07980,dcp,peptidyl-dipeptidase Dcp
SEN_RS17320,greB,transcription elongation factor GreB
SEN_RS12870,SEN_RS12870,GntP family permease
SEN_RS01895,SEN_RS01895,YaiI/YqxD family protein
SEN_RS10210,SEN_RS10210,hypothetical protein
SEN_RS15455,SEN_RS15455,FAD-binding oxidoreductase
SEN_RS21705,SEN_RS21705,SDR family oxidoreductase
SEN_RS04645,mukE,chromosome partition protein MukE
SEN_RS21315,aspA,aspartate ammonia-lyase
SEN_RS21815,SEN_RS21815,DUF4311 domain-containing protein
SEN_RS12090,SEN_RS12090,PTS sugar transporter subunit IIA
SEN_RS13405,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase
SEN_RS08325,SEN_RS08325,DUF1656 domain-containing protein
SEN_RS00925,SEN_RS00925,PTS sugar transporter subunit IIA
SEN_RS14370,SEN_RS14370,winged helix-turn-helix transcriptional regulator
SEN_RS05400,yedF,sulfurtransferase-like selenium metabolism protein YedF
SEN_RS11215,SEN_RS11215,sensor histidine kinase
SEN_RS05625,cheA,chemotaxis protein CheA
SEN_RS09265,zinT,metal-binding protein ZinT
SEN_RS03770,modB,molybdate ABC transporter permease subunit
SEN_RS08230,blr,division septum protein Blr
SEN_RS06945,sapC,peptide ABC transporter permease SapC
SEN_RS06400,SEN_RS06400,potassium/proton antiporter
SEN_RS20105,SEN_RS20105,cupin domain-containing protein
SEN_RS19390,SEN_RS19390,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
SEN_RS12100,SEN_RS12100,LacI family DNA-binding transcriptional regulator
SEN_RS14375,SEN_RS14375,UbiX family flavin prenyltransferase
SEN_RS03030,citC,[citrate (pro-3S)-lyase] ligase
SEN_RS01450,SEN_RS01450,fimbrial biogenesis outer membrane usher protein
SEN_RS11220,mlrA,HTH-type transcriptional regulator MlrA
SEN_RS13425,rrf,5S ribosomal RNA
SEN_RS07530,SEN_RS07530,DUF2554 family protein
SEN_RS07220,SEN_RS07220,DUF1367 family protein
SEN_RS06720,tonB,TonB system transport protein TonB
SEN_RS16745,SEN_RS16745,DUF2556 family protein
SEN_RS03225,gltL,glutamate/aspartate ABC transporter ATP binding protein GltL
SEN_RS22175,uxuR,Uxu operon transcriptional regulator
SEN_RS09275,SEN_RS09275,four-helix bundle copper-binding protein
SEN_RS15630,SEN_RS15630,AraC family transcriptional regulator
SEN_RS01900,aroL,shikimate kinase AroL
SEN_RS17505,gntK,gluconokinase
SEN_RS12105,yfcD,NUDIX hydrolase YfcD
SEN_RS15180,SEN_RS15180,energy-coupling factor ABC transporter ATP-binding protein
SEN_RS08330,SEN_RS08330,HlyD family secretion protein
SEN_RS13410,SEN_RS13410,YfiM family lipoprotein
SEN_RS10215,SEN_RS10215,DUF262 domain-containing protein
SEN_RS00930,SEN_RS00930,polysaccharide deacetylase family protein
SEN_RS14380,SEN_RS14380,UbiD family decarboxylase
SEN_RS11225,SEN_RS11225,protein YohO
SEN_RS16020,SEN_RS16020,HAAAP family serine/threonine permease
SEN_RS07610,SEN_RS07610,TonB-dependent receptor
SEN_RS19720,dsbA,thiol:disulfide interchange protein DsbA
SEN_RS16315,rpmA,50S ribosomal protein L27
SEN_RS00445,kefC,glutathione-regulated potassium-efflux system protein KefC
SEN_RS09280,SEN_RS09280,mechanosensitive ion channel family protein
SEN_RS03775,modC,molybdenum ABC transporter ATP-binding protein ModC
SEN_RS17565,SEN_RS17565,sn-glycerol-3-phosphate import ATP-binding protein UgpC
SEN_RS21010,SEN_RS21010,glutathione S-transferase
SEN_RS16255,SEN_RS16255,tRNA-Leu
SEN_RS17970,SEN_RS17970,substrate-binding domain-containing protein
SEN_RS07820,SEN_RS07820,PhoPQ-activated pathogenicity-related family protein
SEN_RS10220,SEN_RS10220,Eaf protein
SEN_RS14385,SEN_RS14385,hypothetical protein
SEN_RS20775,lysC,lysine-sensitive aspartokinase 3
SEN_RS11230,SEN_RS11230,ABC transporter permease
SEN_RS06255,manX,PTS mannose transporter subunit IIAB
SEN_RS17805,SEN_RS17805,GntR family transcriptional regulator
SEN_RS01465,SEN_RS01465,PerC family transcriptional regulator
SEN_RS03230,gltK,glutamate/aspartate ABC transporter permease GltK
SEN_RS19190,rbsB,ribose ABC transporter substrate-binding protein RbsB
SEN_RS09285,SEN_RS09285,ATP-binding cassette domain-containing protein
SEN_RS06565,SEN_RS06565,DsrE/DsrF/TusD sulfur relay family protein
SEN_RS12875,SEN_RS12875,helix-turn-helix domain-containing protein
SEN_RS01905,yaiA,protein YaiA
SEN_RS00245,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase
SEN_RS22545,serB,phosphoserine phosphatase
SEN_RS23035,SEN_RS23035,tail fiber assembly protein
SEN_RS04415,SEN_RS04415,integrase
SEN_RS10225,SEN_RS10225,hypothetical protein
SEN_RS13415,SEN_RS13415,MFS transporter
SEN_RS12110,yfcE,phosphodiesterase
SEN_RS08335,SEN_RS08335,FUSC family protein
SEN_RS00935,panD,aspartate 1-decarboxylase
SEN_RS14390,rpoS,RNA polymerase sigma factor RpoS
SEN_RS11235,SEN_RS11235,ABC transporter ATP-binding protein
SEN_RS21760,SEN_RS21760,MFS transporter
SEN_RS21175,adiA,arginine decarboxylase
SEN_RS05630,cheW,chemotaxis protein CheW
SEN_RS02460,SEN_RS02460,NfeD family protein
SEN_RS19970,fucO,lactaldehyde reductase
SEN_RS09290,SEN_RS09290,ABC transporter ATP-binding protein
SEN_RS03780,SEN_RS03780,pyridoxal phosphatase
SEN_RS18665,SEN_RS18665,PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB
SEN_RS06950,sapB,peptide ABC transporter permease SapB
SEN_RS17180,nirB,NADPH-nitrite reductase large subunit
SEN_RS15840,SEN_RS15840,multifunctional CCA addition/repair protein
SEN_RS05740,ruvC,crossover junction endodeoxyribonuclease RuvC
SEN_RS07445,SEN_RS07445,D-galactonate dehydratase
SEN_RS08340,sodC,superoxide dismutase [Cu-Zn] SodC2
SEN_RS10230,SEN_RS10230,DUF551 domain-containing protein
SEN_RS01565,proA,glutamate-5-semialdehyde dehydrogenase
SEN_RS14395,nlpD,murein hydrolase activator NlpD
SEN_RS13080,SEN_RS13080,DUF5066 family protein
SEN_RS11240,SEN_RS11240,ABC transporter permease
SEN_RS14945,SEN_RS14945,fimbria/pilus periplasmic chaperone
SEN_RS07225,SEN_RS07225,DUF1364 domain-containing protein
SEN_RS17440,SEN_RS17440,PstS family phosphate ABC transporter substrate-binding protein
SEN_RS08130,mdtJ,multidrug/spermidine efflux SMR transporter subunit MdtJ
SEN_RS07715,adhP,alcohol dehydrogenase AdhP
SEN_RS03235,gltJ,glutamate/aspartate ABC transporter permease GltJ
SEN_RS00450,folA,type 3 dihydrofolate reductase
SEN_RS09295,SEN_RS09295,ABC transporter permease
SEN_RS15635,yqhD,alcohol dehydrogenase
SEN_RS12880,SEN_RS12880,AI-2E family transporter
SEN_RS22240,SEN_RS22240,Rpn family recombination-promoting nuclease/putative transposase
SEN_RS21475,tsaE,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
SEN_RS01910,SEN_RS01910,AroM family protein
SEN_RS16585,SEN_RS16585,SLC13/DASS family transporter
SEN_RS06840,SEN_RS06840,YmiA family putative membrane protein
SEN_RS12115,yfcF,glutathione transferase
SEN_RS15185,SEN_RS15185,ATP-binding cassette domain-containing protein
SEN_RS08345,SEN_RS08345,aldo/keto reductase family oxidoreductase
SEN_RS13420,SEN_RS13420,DUF4385 domain-containing protein
SEN_RS10235,SEN_RS10235,3'-5' exoribonuclease
SEN_RS00940,panC,pantoate--beta-alanine ligase
SEN_RS14400,SEN_RS14400,protein-L-isoaspartate(D-aspartate) O-methyltransferase
SEN_RS11245,SEN_RS11245,ABC transporter substrate-binding protein
SEN_RS16025,tdcG,L-serine ammonia-lyase
SEN_RS20520,rplL,50S ribosomal protein L7/L12
SEN_RS18140,SEN_RS18140,alpha-amylase
SEN_RS16320,rplU,50S ribosomal protein L21
SEN_RS18775,emrD,multidrug efflux MFS transporter EmrD
SEN_RS01475,SEN_RS01475,LysR family transcriptional regulator
SEN_RS09300,SEN_RS09300,ABC transporter permease
SEN_RS03785,pgl,6-phosphogluconolactonase
SEN_RS02925,SEN_RS02925,pyridoxal phosphate-dependent aminotransferase
SEN_RS05180,SEN_RS05180,hypothetical protein
SEN_RS21015,ghxP,guanine/hypoxanthine transporter GhxP
SEN_RS20270,SEN_RS20270,hypothetical protein
SEN_RS00095,SEN_RS00095,hypothetical protein
SEN_RS18370,rfaD,ADP-glyceromanno-heptose 6-epimerase
SEN_RS08350,SEN_RS08350,DUF1289 domain-containing protein
SEN_RS10240,SEN_RS10240,DUF4224 domain-containing protein
SEN_RS01590,SEN_RS01590,DUF1889 family protein
SEN_RS14405,surE,5'/3'-nucleotidase SurE
SEN_RS22390,dnaC,DNA replication protein DnaC
SEN_RS07920,SEN_RS07920,LysR family transcriptional regulator
SEN_RS23120,SEN_RS23120,tail fiber protein
SEN_RS11250,bglX,beta-glucosidase BglX
SEN_RS17065,tusD,sulfurtransferase complex subunit TusD
SEN_RS04205,SEN_RS04205,HAD family hydrolase
SEN_RS04940,sopB,SPI-1 type III secretion system effector inositol phosphate phosphatase SopB
SEN_RS19195,rbsK,ribokinase
SEN_RS03240,SEN_RS03240,amino acid ABC transporter substrate-binding protein
SEN_RS00455,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH
SEN_RS09305,SEN_RS09305,ABC transporter substrate-binding protein
SEN_RS07985,ydfG,bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG
SEN_RS17325,SEN_RS17325,RNA-binding transcriptional accessory protein
SEN_RS12885,bepA,beta-barrel assembly-enhancing protease
SEN_RS20655,SEN_RS20655,23S ribosomal RNA
SEN_RS04650,mukB,chromosome partition protein MukB
SEN_RS01915,ppnP,pyrimidine/purine nucleoside phosphorylase
SEN_RS04430,SEN_RS04430,hydrolase
SEN_RS12120,yfcG,GSH-dependent disulfide bond oxidoreductase
SEN_RS21325,fxsA,membrane protein FxsA
SEN_RS21820,SEN_RS21820,DUF4310 family protein
SEN_RS08355,SEN_RS08355,TetR/AcrR family transcriptional regulator
SEN_RS13445,clpB,ATP-dependent chaperone ClpB
SEN_RS10245,SEN_RS10245,tyrosine-type recombinase/integrase
SEN_RS00945,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase
SEN_RS14410,truD,tRNA pseudouridine(13) synthase TruD
SEN_RS22025,SEN_RS22025,L-idonate 5-dehydrogenase
SEN_RS19860,yihX,glucose-1-phosphatase
SEN_RS11255,dld,D-lactate dehydrogenase
SEN_RS05405,yedE,selenium metabolism membrane protein YedE/FdhT
SEN_RS05635,tar,methyl-accepting chemotaxis protein II
SEN_RS02425,SEN_RS02425,MFS transporter
SEN_RS09310,SEN_RS09310,TRL-like family protein
SEN_RS03790,SEN_RS03790,putative acyl-CoA thioester hydrolase
SEN_RS08235,ydgT,transcription modulator YdgT
SEN_RS06955,sapA,peptide ABC transporter substrate-binding protein SapA
SEN_RS06405,ldcA,muramoyltetrapeptide carboxypeptidase
SEN_RS21020,SEN_RS21020,Na+/H+ antiporter
SEN_RS16480,SEN_RS16480,YhcH/YjgK/YiaL family protein
SEN_RS22080,sefC,SEF14/SEF18 fimbria usher protein SefC
SEN_RS19395,wzyE,ECA oligosaccharide polymerase
SEN_RS20110,lsrK,autoinducer-2 kinase
SEN_RS08360,SEN_RS08360,alkene reductase
SEN_RS13450,pgeF,polyphenol oxidase
SEN_RS10255,mtfA,DgsA anti-repressor MtfA
SEN_RS02630,lpxH,UDP-2-3-diacylglucosamine diphosphatase
SEN_RS14415,ispF,2-C-methyl-D-erythritol 2-4-cyclodiphosphate synthase
SEN_RS14950,stdB,fimbrial outer membrane usher protein StdB
SEN_RS07230,SEN_RS07230,DUF1133 family protein
SEN_RS06725,yciA,acyl-CoA thioester hydrolase YciA
SEN_RS16750,SEN_RS16750,bifunctional diguanylate cyclase/phosphodiesterase
SEN_RS18245,mtlA,PTS mannitol transporter subunit IICBA
SEN_RS03245,lnt,apolipoprotein N-acyltransferase
SEN_RS09315,SEN_RS09315,cytochrome b
SEN_RS15640,dkgA,2-5-didehydrogluconate reductase DkgA
SEN_RS12890,arsC,arsenate reductase (glutaredoxin)
SEN_RS01920,rdgC,recombination-associated protein RdgC
SEN_RS12125,SEN_RS12125,TIGR01777 family oxidoreductase
SEN_RS19225,SEN_RS19225,23S ribosomal RNA
SEN_RS13455,rluD,23S rRNA pseudouridine(1911/1915/1917) synthase RluD
SEN_RS08365,gloA,lactoylglutathione lyase
SEN_RS00950,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
SEN_RS14420,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
SEN_RS16030,pflB,formate C-acetyltransferase
SEN_RS19725,SEN_RS19725,acyltransferase
SEN_RS16325,ispB,octaprenyl diphosphate synthase
SEN_RS18780,SEN_RS18780,cellulase family glycosylhydrolase
SEN_RS01480,SEN_RS01480,hypothetical protein
SEN_RS02450,copA,copper-exporting P-type ATPase CopA
SEN_RS09320,SEN_RS09320,exo-alpha-sialidase
SEN_RS03795,SEN_RS03795,imidazolonepropionase
SEN_RS02930,SEN_RS02930,ParB-like nuclease domain-containing protein
SEN_RS17570,ugpE,sn-glycerol-3-phosphate ABC transporter permease UgpE
SEN_RS05185,SEN_RS05185,LysM peptidoglycan-binding domain-containing protein
SEN_RS17990,eptB,kdo(2)-lipid A phosphoethanolamine 7''-transferase
SEN_RS10265,SEN_RS10265,DUF4102 domain-containing protein
SEN_RS13460,bamD,outer membrane protein assembly factor BamD
SEN_RS07825,SEN_RS07825,MFS transporter
SEN_RS20780,pgi,glucose-6-phosphate isomerase
SEN_RS14425,ftsB,cell division protein FtsB
SEN_RS13430,SEN_RS13430,23S ribosomal RNA
SEN_RS18465,radC,DNA repair protein RadC
SEN_RS16890,rpsD,30S ribosomal protein S4
SEN_RS11260,pbpG,D-alanyl-D-alanine endopeptidase
SEN_RS06265,yoaE,CNNM family cation transport protein YoaE
SEN_RS17810,SEN_RS17810,alpha-alpha-trehalase TreF
SEN_RS19200,rbsR,ribose operon transcriptional repressor RbsR
SEN_RS03250,corC,CNNM family magnesium/cobalt transport protein CorC
SEN_RS00460,apaG,Co2+/Mg2+ efflux protein ApaG
SEN_RS09330,SEN_RS09330,Hsp20 family protein
