"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"MF"	"GO:0015179"	"L-amino acid transmembrane transporter activity"	"6/247"	"27/2736"	0.0298391887883927	0.970419689985469	0.970419689985469	"metN/rhtA/ybjE/leuE/alaE/dctA"	6
"BP"	"GO:0006979"	"response to oxidative stress"	"12/247"	"74/2736"	0.0309098498609668	0.970419689985469	0.970419689985469	"degP/ykgI/hcp/acnA/gst/sufA/bcp/rseC/norW/yhbO/katG/msrA"	12
"BP"	"GO:0009218"	"pyrimidine ribonucleotide metabolic process"	"4/247"	"14/2736"	0.0314115511931802	0.970419689985469	0.970419689985469	"carA/pyrC/mazG/pyrE"	4
"BP"	"GO:1901615"	"organic hydroxy compound metabolic process"	"11/247"	"66/2736"	0.0317217508096785	0.970419689985469	0.970419689985469	"uppS/aroL/gcl/fes/entB/ykgA/pdxH/pdxB/yhbO/yihS/yjjX"	11
"BP"	"GO:0006113"	"fermentation"	"5/247"	"21/2736"	0.0351773199777396	0.970419689985469	0.970419689985469	"hyaC/hyaB/hyaA/ackA/frdB"	5
"MF"	"GO:0015145"	"monosaccharide transmembrane transporter activity"	"4/247"	"16/2736"	0.0495245607375612	0.970419689985469	0.970419689985469	"manY/fruB/rbsD/lsrC"	4
"CC"	"GO:0019898"	"extrinsic component of membrane"	"5/247"	"23/2736"	0.0501968936144932	0.970419689985469	0.970419689985469	"lpxB/macA/hflD/fruB/era"	5
"MF"	"GO:0043024"	"ribosomal small subunit binding"	"3/247"	"10/2736"	0.0541303417745882	0.970419689985469	0.970419689985469	"rmf/infC/era"	3
"BP"	"GO:0051346"	"negative regulation of hydrolase activity"	"3/247"	"10/2736"	0.0541303417745882	0.970419689985469	0.970419689985469	"aes/sulA/sbmC"	3
"BP"	"GO:0072593"	"reactive oxygen species metabolic process"	"3/247"	"10/2736"	0.0541303417745882	0.970419689985469	0.970419689985469	"hcp/norW/katG"	3
"BP"	"GO:0006865"	"amino acid transport"	"9/247"	"55/2736"	0.0548871874692423	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/proQ/leuE/lysP/alaE/dctA"	9
"BP"	"GO:1901700"	"response to oxygen-containing compound"	"9/247"	"55/2736"	0.0548871874692423	0.970419689985469	0.970419689985469	"ybaO/ykgI/hcp/gst/yeiG/norW/yghW/asnC/katG"	9
"BP"	"GO:0072527"	"pyrimidine-containing compound metabolic process"	"8/247"	"47/2736"	0.0561843812690351	0.970419689985469	0.970419689985469	"carA/pyrH/cdsA/pyrC/ndk/mazG/pyrE/yjjX"	8
"MF"	"GO:0005506"	"iron ion binding"	"7/247"	"39/2736"	0.0564256909513916	0.970419689985469	0.970419689985469	"fhuA/erpA/map/acnA/sufA/norR/rpe"	7
"BP"	"GO:0001101"	"response to acid chemical"	"4/247"	"17/2736"	0.0603320453349297	0.970419689985469	0.970419689985469	"ybaO/ykgI/yghW/asnC"	4
"MF"	"GO:0008198"	"ferrous iron binding"	"4/247"	"17/2736"	0.0603320453349297	0.970419689985469	0.970419689985469	"map/sufA/norR/rpe"	4
"BP"	"GO:0019323"	"pentose catabolic process"	"4/247"	"17/2736"	0.0603320453349297	0.970419689985469	0.970419689985469	"araD/rpe/xylB/rbsD"	4
"MF"	"GO:0051119"	"sugar transmembrane transporter activity"	"4/247"	"17/2736"	0.0603320453349297	0.970419689985469	0.970419689985469	"manY/fruB/rbsD/lsrC"	4
"BP"	"GO:0048519"	"negative regulation of biological process"	"19/247"	"146/2736"	0.0623557755375225	0.970419689985469	0.970419689985469	"iraP/hha/aes/allR/fur/cspD/rmf/sulA/yedQ/yjgJ/marR/tus/rplT/flgM/sbmC/alaS/gntR/asnC/fabR"	19
"BP"	"GO:0060255"	"regulation of macromolecule metabolic process"	"31/247"	"264/2736"	0.0695265946752869	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/hha/aes/allR/fur/cspD/ftsK/rmf/cheW/proQ/prmC/yjgJ/marR/tus/rplT/infC/flgM/sbmC/alaS/norR/arfA/gntR/xylR/torR/asnC/fabR/pepA"	31
"BP"	"GO:0009220"	"pyrimidine ribonucleotide biosynthetic process"	"3/247"	"11/2736"	0.0696108004030982	0.970419689985469	0.970419689985469	"carA/pyrC/pyrE"	3
"BP"	"GO:0044273"	"sulfur compound catabolic process"	"3/247"	"11/2736"	0.0696108004030982	0.970419689985469	0.970419689985469	"ybaO/yihS/yihU"	3
"BP"	"GO:2000145"	"regulation of cell motility"	"3/247"	"11/2736"	0.0696108004030982	0.970419689985469	0.970419689985469	"hha/yedQ/yhjH"	3
"BP"	"GO:0010468"	"regulation of gene expression"	"27/247"	"225/2736"	0.0703459102065226	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/hha/aes/allR/fur/cspD/ftsK/rmf/proQ/prmC/yjgJ/marR/rplT/infC/alaS/norR/arfA/gntR/xylR/torR/asnC/fabR/pepA"	27
"BP"	"GO:0009266"	"response to temperature stimulus"	"11/247"	"75/2736"	0.0705253638947402	0.970419689985469	0.970419689985469	"degP/cspD/cspG/marR/infC/hflD/clpB/yhbO/ibpA/groS/groL"	11
"BP"	"GO:0032879"	"regulation of localization"	"4/247"	"18/2736"	0.0722825692059022	0.970419689985469	0.970419689985469	"hha/yedQ/proQ/yhjH"	4
"BP"	"GO:0061077"	"chaperone-mediated protein folding"	"4/247"	"18/2736"	0.0722825692059022	0.970419689985469	0.970419689985469	"degP/skp/groS/groL"	4
"BP"	"GO:1990748"	"cellular detoxification"	"4/247"	"18/2736"	0.0722825692059022	0.970419689985469	0.970419689985469	"hcp/yeiG/bcp/katG"	4
"BP"	"GO:0048523"	"negative regulation of cellular process"	"17/247"	"130/2736"	0.0727026885762145	0.970419689985469	0.970419689985469	"hha/allR/fur/cspD/rmf/sulA/yedQ/yjgJ/marR/tus/rplT/flgM/sbmC/alaS/gntR/asnC/fabR"	17
"BP"	"GO:0051172"	"negative regulation of nitrogen compound metabolic process"	"15/247"	"112/2736"	0.0751175790875537	0.970419689985469	0.970419689985469	"iraP/allR/fur/cspD/rmf/yjgJ/marR/tus/rplT/flgM/sbmC/alaS/gntR/asnC/fabR"	15
"BP"	"GO:2000112"	"regulation of cellular macromolecule biosynthetic process"	"26/247"	"217/2736"	0.0760485330892544	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/aes/allR/fur/cspD/ftsK/rmf/yjgJ/marR/tus/rplT/infC/sbmC/alaS/norR/arfA/gntR/xylR/torR/asnC/fabR/pepA"	26
"BP"	"GO:0048522"	"positive regulation of cellular process"	"13/247"	"94/2736"	0.0765204447262865	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/hha/fur/ftsK/cheW/proQ/infC/norR/gntR/asnC"	13
"BP"	"GO:0009056"	"catabolic process"	"34/247"	"297/2736"	0.078778274945089	0.970419689985469	0.970419689985469	"rihC/fixB/araD/degP/dkgB/fadE/iraP/ybaO/aes/gcl/fes/nagA/hcp/pflB/ykgA/rspA/astB/yeaE/yeiG/norW/mazG/gudD/gcvH/dkgA/ackA/yhbO/rpe/hofP/xylB/rbsD/yihS/yihU/katG/pepA"	34
"MF"	"GO:0008514"	"organic anion transmembrane transporter activity"	"9/247"	"59/2736"	0.0793358862711091	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/leuE/lysP/alaE/ugpC/dctA"	9
"BP"	"GO:0010033"	"response to organic substance"	"6/247"	"34/2736"	0.080062342778819	0.970419689985469	0.970419689985469	"ybaO/yeiG/clpB/yghW/asnC/groS"	6
"BP"	"GO:1902475"	"L-alpha-amino acid transmembrane transport"	"6/247"	"34/2736"	0.080062342778819	0.970419689985469	0.970419689985469	"metN/rhtA/ybjE/leuE/alaE/dctA"	6
"BP"	"GO:0010556"	"regulation of macromolecule biosynthetic process"	"27/247"	"228/2736"	0.0801374527972518	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/aes/allR/fur/cspD/ftsK/rmf/yjgJ/marR/tus/rplT/infC/flgM/sbmC/alaS/norR/arfA/gntR/xylR/torR/asnC/fabR/pepA"	27
"BP"	"GO:0045333"	"cellular respiration"	"11/247"	"77/2736"	0.0820863417951833	0.970419689985469	0.970419689985469	"erpA/cyoA/sucA/dmsA/hyaC/hyaB/hyaA/acnA/torA/torC/frdB"	11
"MF"	"GO:0017111"	"ribonucleoside triphosphate phosphatase activity"	"16/247"	"123/2736"	0.0832151791722177	0.970419689985469	0.970419689985469	"metN/ftsK/znuC/yeiR/era/clpB/ffh/recC/zapE/ugpC/atpE/ravA/rbsD/groL/mgtA/yjjX"	16
"BP"	"GO:0009607"	"response to biotic stimulus"	"3/247"	"12/2736"	0.0868371896561325	0.970419689985469	0.970419689985469	"casA/recC/lsrK"	3
"MF"	"GO:0016151"	"nickel cation binding"	"3/247"	"12/2736"	0.0868371896561325	0.970419689985469	0.970419689985469	"hyaB/rhmA/zraP"	3
"BP"	"GO:0019748"	"secondary metabolic process"	"3/247"	"12/2736"	0.0868371896561325	0.970419689985469	0.970419689985469	"fes/entB/yihU"	3
"BP"	"GO:0040012"	"regulation of locomotion"	"3/247"	"12/2736"	0.0868371896561325	0.970419689985469	0.970419689985469	"hha/yedQ/yhjH"	3
"BP"	"GO:0042135"	"neurotransmitter catabolic process"	"3/247"	"12/2736"	0.0868371896561325	0.970419689985469	0.970419689985469	"hcp/norW/gcvH"	3
"BP"	"GO:0031326"	"regulation of cellular biosynthetic process"	"27/247"	"230/2736"	0.0871628937654202	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/aes/allR/fur/cspD/ftsK/rmf/yjgJ/marR/tus/rplT/infC/flgM/sbmC/alaS/norR/arfA/gntR/xylR/torR/asnC/fabR/pepA"	27
"BP"	"GO:0009636"	"response to toxic substance"	"7/247"	"43/2736"	0.0871678813800038	0.970419689985469	0.970419689985469	"cueO/hcp/gst/yeiG/bcp/yihU/katG"	7
"BP"	"GO:0015807"	"L-amino acid transport"	"6/247"	"35/2736"	0.0896883387454091	0.970419689985469	0.970419689985469	"metN/rhtA/ybjE/leuE/alaE/dctA"	6
"BP"	"GO:0043254"	"regulation of protein-containing complex assembly"	"5/247"	"27/2736"	0.0899172433970537	0.970419689985469	0.970419689985469	"phoB/ybaO/sulA/infC/norR"	5
"BP"	"GO:0009889"	"regulation of biosynthetic process"	"27/247"	"231/2736"	0.0908274166476746	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/aes/allR/fur/cspD/ftsK/rmf/yjgJ/marR/tus/rplT/infC/flgM/sbmC/alaS/norR/arfA/gntR/xylR/torR/asnC/fabR/pepA"	27
"MF"	"GO:0008324"	"cation transmembrane transporter activity"	"14/247"	"106/2736"	0.0916540553036408	0.970419689985469	0.970419689985469	"thiP/clcA/metN/cyoA/rhtA/ybjE/znuC/sapC/leuE/nupC/alaE/dctA/atpE/mgtA"	14
"BP"	"GO:0006812"	"cation transport"	"20/247"	"163/2736"	0.0923841815218798	0.970419689985469	0.970419689985469	"thiP/clcA/metN/cyoA/fepD/entS/rhtA/potH/ybjE/znuC/proQ/sapC/leuE/yehW/nupC/alaE/dctA/atpE/mgtA/fhuF"	20
"BP"	"GO:0098655"	"cation transmembrane transport"	"16/247"	"125/2736"	0.0931430386823759	0.970419689985469	0.970419689985469	"thiP/clcA/metN/cyoA/fepD/rhtA/ybjE/znuC/proQ/sapC/leuE/nupC/alaE/dctA/atpE/mgtA"	16
"CC"	"GO:0019897"	"extrinsic component of plasma membrane"	"4/247"	"20/2736"	0.0994611835749662	0.970419689985469	0.970419689985469	"lpxB/hflD/fruB/era"	4
"BP"	"GO:0000302"	"response to reactive oxygen species"	"5/247"	"28/2736"	0.101810976101209	0.970419689985469	0.970419689985469	"ykgI/hcp/gst/norW/katG"	5
"BP"	"GO:0001505"	"regulation of neurotransmitter levels"	"3/247"	"13/2736"	0.105657209633016	0.970419689985469	0.970419689985469	"hcp/norW/gcvH"	3
"MF"	"GO:0015562"	"efflux transmembrane transporter activity"	"3/247"	"13/2736"	0.105657209633016	0.970419689985469	0.970419689985469	"rhtA/ybjE/alaE"	3
"BP"	"GO:0017001"	"antibiotic catabolic process"	"3/247"	"13/2736"	0.105657209633016	0.970419689985469	0.970419689985469	"nagA/yeiG/katG"	3
"BP"	"GO:0031334"	"positive regulation of protein-containing complex assembly"	"3/247"	"13/2736"	0.105657209633016	0.970419689985469	0.970419689985469	"ybaO/infC/norR"	3
"BP"	"GO:0042133"	"neurotransmitter metabolic process"	"3/247"	"13/2736"	0.105657209633016	0.970419689985469	0.970419689985469	"hcp/norW/gcvH"	3
"BP"	"GO:0042542"	"response to hydrogen peroxide"	"3/247"	"13/2736"	0.105657209633016	0.970419689985469	0.970419689985469	"hcp/gst/katG"	3
"MF"	"GO:0051082"	"unfolded protein binding"	"3/247"	"13/2736"	0.105657209633016	0.970419689985469	0.970419689985469	"skp/groS/groL"	3
"BP"	"GO:0044248"	"cellular catabolic process"	"27/247"	"236/2736"	0.110692101291723	0.970419689985469	0.970419689985469	"rihC/fixB/degP/dkgB/fadE/ybaO/gcl/fes/nagA/hcp/pflB/ykgA/astB/yeaE/yeiG/norW/mazG/gudD/gcvH/dkgA/ackA/yhbO/hofP/yihS/yihU/katG/pepA"	27
"BP"	"GO:0009060"	"aerobic respiration"	"6/247"	"37/2736"	0.110734418007324	0.970419689985469	0.970419689985469	"erpA/cyoA/sucA/acnA/torA/torC"	6
"BP"	"GO:0048518"	"positive regulation of biological process"	"13/247"	"100/2736"	0.111719343090941	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/hha/fur/ftsK/cheW/proQ/infC/norR/gntR/asnC"	13
"BP"	"GO:0019321"	"pentose metabolic process"	"4/247"	"21/2736"	0.11458679853902	0.970419689985469	0.970419689985469	"araD/rpe/xylB/rbsD"	4
"BP"	"GO:0022411"	"cellular component disassembly"	"4/247"	"21/2736"	0.11458679853902	0.970419689985469	0.970419689985469	"frr/prmC/infC/pepA"	4
"BP"	"GO:0032984"	"protein-containing complex disassembly"	"4/247"	"21/2736"	0.11458679853902	0.970419689985469	0.970419689985469	"frr/prmC/infC/pepA"	4
"BP"	"GO:0043086"	"negative regulation of catalytic activity"	"4/247"	"21/2736"	0.11458679853902	0.970419689985469	0.970419689985469	"aes/sulA/mliC/sbmC"	4
"BP"	"GO:0051336"	"regulation of hydrolase activity"	"4/247"	"21/2736"	0.11458679853902	0.970419689985469	0.970419689985469	"aes/sulA/sbmC/nlpD"	4
"MF"	"GO:0005342"	"organic acid transmembrane transporter activity"	"8/247"	"55/2736"	0.117492467157178	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/leuE/lysP/alaE/dctA"	8
"MF"	"GO:0046943"	"carboxylic acid transmembrane transporter activity"	"8/247"	"55/2736"	0.117492467157178	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/leuE/lysP/alaE/dctA"	8
"BP"	"GO:0010558"	"negative regulation of macromolecule biosynthetic process"	"13/247"	"101/2736"	0.118388555415251	0.970419689985469	0.970419689985469	"allR/fur/cspD/rmf/yjgJ/marR/tus/rplT/sbmC/alaS/gntR/asnC/fabR"	13
"BP"	"GO:2000113"	"negative regulation of cellular macromolecule biosynthetic process"	"13/247"	"101/2736"	0.118388555415251	0.970419689985469	0.970419689985469	"allR/fur/cspD/rmf/yjgJ/marR/tus/rplT/sbmC/alaS/gntR/asnC/fabR"	13
"BP"	"GO:0010605"	"negative regulation of macromolecule metabolic process"	"15/247"	"120/2736"	0.11859977626442	0.970419689985469	0.970419689985469	"iraP/allR/fur/cspD/rmf/yjgJ/marR/tus/rplT/flgM/sbmC/alaS/gntR/asnC/fabR"	15
"BP"	"GO:0031324"	"negative regulation of cellular metabolic process"	"14/247"	"111/2736"	0.121985782468866	0.970419689985469	0.970419689985469	"allR/fur/cspD/rmf/yjgJ/marR/tus/rplT/flgM/sbmC/alaS/gntR/asnC/fabR"	14
"BP"	"GO:1901617"	"organic hydroxy compound biosynthetic process"	"6/247"	"38/2736"	0.122125613342542	0.970419689985469	0.970419689985469	"uppS/entB/ykgA/pdxH/pdxB/yhbO"	6
"BP"	"GO:0019222"	"regulation of metabolic process"	"31/247"	"279/2736"	0.122220928454935	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/hha/aes/allR/fur/cspD/ftsK/rmf/cheW/proQ/prmC/yjgJ/marR/tus/rplT/infC/flgM/sbmC/alaS/norR/arfA/gntR/xylR/torR/asnC/fabR/pepA"	31
"BP"	"GO:0009890"	"negative regulation of biosynthetic process"	"13/247"	"102/2736"	0.125284876153189	0.970419689985469	0.970419689985469	"allR/fur/cspD/rmf/yjgJ/marR/tus/rplT/sbmC/alaS/gntR/asnC/fabR"	13
"BP"	"GO:0031327"	"negative regulation of cellular biosynthetic process"	"13/247"	"102/2736"	0.125284876153189	0.970419689985469	0.970419689985469	"allR/fur/cspD/rmf/yjgJ/marR/tus/rplT/sbmC/alaS/gntR/asnC/fabR"	13
"BP"	"GO:0006206"	"pyrimidine nucleobase metabolic process"	"3/247"	"14/2736"	0.125906025571153	0.970419689985469	0.970419689985469	"carA/pyrC/pyrE"	3
"BP"	"GO:0006526"	"arginine biosynthetic process"	"3/247"	"14/2736"	0.125906025571153	0.970419689985469	0.970419689985469	"carA/argA/argI"	3
"BP"	"GO:0071236"	"cellular response to antibiotic"	"3/247"	"14/2736"	0.125906025571153	0.970419689985469	0.970419689985469	"ftsK/marR/katG"	3
"BP"	"GO:0045893"	"positive regulation of DNA-templated transcription"	"9/247"	"65/2736"	0.126704412891512	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/fur/ftsK/norR/gntR/asnC"	9
"BP"	"GO:1902680"	"positive regulation of RNA biosynthetic process"	"9/247"	"65/2736"	0.126704412891512	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/fur/ftsK/norR/gntR/asnC"	9
"BP"	"GO:1903508"	"positive regulation of nucleic acid-templated transcription"	"9/247"	"65/2736"	0.126704412891512	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/fur/ftsK/norR/gntR/asnC"	9
"BP"	"GO:0072528"	"pyrimidine-containing compound biosynthetic process"	"5/247"	"30/2736"	0.127794349327624	0.970419689985469	0.970419689985469	"carA/pyrH/cdsA/pyrC/pyrE"	5
"BP"	"GO:0006355"	"regulation of DNA-templated transcription"	"21/247"	"180/2736"	0.127883717174605	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/aes/allR/fur/cspD/ftsK/yjgJ/marR/rplT/alaS/norR/gntR/xylR/torR/asnC/fabR/pepA"	21
"BP"	"GO:1903506"	"regulation of nucleic acid-templated transcription"	"22/247"	"190/2736"	0.128400229014422	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/aes/allR/fur/cspD/ftsK/yjgJ/marR/rplT/flgM/alaS/norR/gntR/xylR/torR/asnC/fabR/pepA"	22
"BP"	"GO:2001141"	"regulation of RNA biosynthetic process"	"22/247"	"190/2736"	0.128400229014422	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/aes/allR/fur/cspD/ftsK/yjgJ/marR/rplT/flgM/alaS/norR/gntR/xylR/torR/asnC/fabR/pepA"	22
"BP"	"GO:0046916"	"cellular transition metal ion homeostasis"	"4/247"	"22/2736"	0.130653934287207	0.970419689985469	0.970419689985469	"ybbL/fepD/cutC/fhuF"	4
"MF"	"GO:0003723"	"RNA binding"	"11/247"	"84/2736"	0.131336926591934	0.970419689985469	0.970419689985469	"yaeB/cspD/rmf/proQ/acnA/rplT/infC/era/casA/arfA/rplB"	11
"BP"	"GO:0009892"	"negative regulation of metabolic process"	"15/247"	"122/2736"	0.131413655769235	0.970419689985469	0.970419689985469	"iraP/allR/fur/cspD/rmf/yjgJ/marR/tus/rplT/flgM/sbmC/alaS/gntR/asnC/fabR"	15
"BP"	"GO:0031328"	"positive regulation of cellular biosynthetic process"	"10/247"	"75/2736"	0.13386489234947	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/fur/ftsK/infC/norR/gntR/asnC"	10
"MF"	"GO:0009055"	"electron transfer activity"	"7/247"	"48/2736"	0.136587401169043	0.970419689985469	0.970419689985469	"fixB/cyoA/dmsA/hyaB/hyaA/torC/frdB"	7
"MF"	"GO:0016836"	"hydro-lyase activity"	"7/247"	"48/2736"	0.136587401169043	0.970419689985469	0.970419689985469	"fabZ/acnA/ykgA/rspA/pheA/gudD/yhbO"	7
"BP"	"GO:0051246"	"regulation of protein metabolic process"	"7/247"	"48/2736"	0.136587401169043	0.970419689985469	0.970419689985469	"iraP/rmf/cheW/rplT/infC/flgM/arfA"	7
"BP"	"GO:0009408"	"response to heat"	"8/247"	"57/2736"	0.136889638520167	0.970419689985469	0.970419689985469	"degP/marR/hflD/clpB/yhbO/ibpA/groS/groL"	8
"BP"	"GO:0045934"	"negative regulation of nucleobase-containing compound metabolic process"	"11/247"	"85/2736"	0.139469268295945	0.970419689985469	0.970419689985469	"allR/fur/cspD/yjgJ/marR/tus/sbmC/alaS/gntR/asnC/fabR"	11
"BP"	"GO:0051173"	"positive regulation of nitrogen compound metabolic process"	"11/247"	"85/2736"	0.139469268295945	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/fur/ftsK/cheW/infC/norR/gntR/asnC"	11
"BP"	"GO:0098656"	"anion transmembrane transport"	"11/247"	"85/2736"	0.139469268295945	0.970419689985469	0.970419689985469	"clcA/metN/glnP/rhtA/ybjE/proQ/leuE/lysP/alaE/ugpC/dctA"	11
"MF"	"GO:0046872"	"metal ion binding"	"33/247"	"304/2736"	0.142128762332778	0.970419689985469	0.970419689985469	"araD/cueO/fhuA/erpA/map/uppS/aroL/ylbA/entB/nagA/fur/sucA/hyaB/acnA/rspA/sufA/pyrC/yeiR/rhmA/yfcE/alaS/norR/casA/gudD/rplB/rpe/rtcB/pyrE/torA/zraP/groS/groL/iadA"	33
"BP"	"GO:0009891"	"positive regulation of biosynthetic process"	"10/247"	"76/2736"	0.142607049944261	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/fur/ftsK/infC/norR/gntR/asnC"	10
"BP"	"GO:0010557"	"positive regulation of macromolecule biosynthetic process"	"10/247"	"76/2736"	0.142607049944261	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/fur/ftsK/infC/norR/gntR/asnC"	10
"BP"	"GO:0010628"	"positive regulation of gene expression"	"10/247"	"76/2736"	0.142607049944261	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/ybaO/fur/ftsK/infC/norR/gntR/asnC"	10
"BP"	"GO:0019219"	"regulation of nucleobase-containing compound metabolic process"	"24/247"	"213/2736"	0.144296520513767	0.970419689985469	0.970419689985469	"sfsA/cdaR/iraP/phoB/ybaO/aes/allR/fur/cspD/ftsK/yjgJ/marR/tus/rplT/flgM/sbmC/alaS/norR/gntR/xylR/torR/asnC/fabR/pepA"	24
"MF"	"GO:0008509"	"anion transmembrane transporter activity"	"9/247"	"67/2736"	0.145263884269494	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/leuE/lysP/alaE/ugpC/dctA"	9
"BP"	"GO:1903825"	"organic acid transmembrane transport"	"9/247"	"67/2736"	0.145263884269494	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/proQ/leuE/lysP/alaE/dctA"	9
"BP"	"GO:1905039"	"carboxylic acid transmembrane transport"	"9/247"	"67/2736"	0.145263884269494	0.970419689985469	0.970419689985469	"metN/glnP/rhtA/ybjE/proQ/leuE/lysP/alaE/dctA"	9
